risk_id,category,title,description,likelihood,impact,risk_score,control_owner,current_controls,treatment,residual_risk,status,last_reviewed
RISK-001,Adversarial Input,Prompt Injection via User Input,Attacker crafts user input that overrides agent instructions and causes it to take unauthorised actions,4,5,20,Security Engineering,Policy engine regex rules (INJ-001/INJ-002); input length limits; sandboxed orchestrator,Mitigate: expand pattern library; add embedding-based classifier for indirect injection,Medium,Open,2026-06-01
RISK-002,Agent Behaviour,Excessive Agency — Unsanctioned Write Actions,Agent calls write or external tools without human approval due to misconfigured approval level,3,5,15,Platform Engineering,Tool registry approval levels; sync approval gate for all writes; DRY_RUN mode for testing,Mitigate: enforce approval gate integration tests in CI; alert on any auto-approved write,Low,Open,2026-06-01
RISK-003,Data Protection,PII Leakage to External LLM Provider,Personally Identifiable Information sent to cloud LLM API violating GDPR and DPA,3,5,15,Data Protection Officer,Model registry data classification limits; DPIA completed; contractual DPA with providers,Mitigate: PII redaction layer before LLM API calls; use self-hosted model for PII data,Medium,Open,2026-06-01
RISK-004,Data Protection,Sensitive Data in Audit Log,Audit log captures full tool parameters which may include PII or credentials in plaintext,2,4,8,Platform Engineering,Parameter field stored as JSON; DB access restricted to service account,Mitigate: parameter sanitisation before logging; encrypt DB at rest; rotate DB credentials,Low,Open,2026-06-01
RISK-005,Governance,Weak HITL Approval — In-Memory Store Lost on Restart,Pending approvals stored in-memory; process restart loses all pending requests silently,3,4,12,Platform Engineering,Approval requests logged to audit DB; in-memory store for demo only,Mitigate: persist approval queue to DB; add startup reconciliation for pending requests,Medium,Open,2026-06-01
RISK-006,Observability,Audit Log Gaps — Missing Events on Exception,Unhandled exceptions during tool execution may bypass audit log writes,2,4,8,Platform Engineering,Try/finally blocks in orchestrator; test coverage for error paths,Mitigate: add structured error handler middleware; test exception paths in CI,Low,Open,2026-06-01
RISK-007,Availability,LLM Provider Outage,Cloud LLM API unavailable causing agent workflow failure and business impact,3,3,9,Platform Engineering,Fallback to self-hosted model; circuit breaker pattern; health checks,Mitigate: implement retry with exponential backoff; provider SLA monitoring; runbook,Low,Open,2026-06-01
RISK-008,Quality,Eval Regression — Safety Pass Rate Drops Below Threshold,New model version or prompt change causes safety evaluation pass rate to fall below acceptable threshold,2,5,10,ML Engineering,Eval suite in evals/; CI gate requires 100% pass; version-pinned model registry,Mitigate: shadow eval on new model versions before promotion; automated eval in CD pipeline,Low,Open,2026-06-01
RISK-009,Security,Credential Theft via Environment Variable Exfiltration,Attacker uses agent to read environment variables containing API keys or credentials,2,5,10,Security Engineering,Scoped credential keys per tool; CRED-001 policy rule blocks exfiltration patterns,Mitigate: use secrets manager (Vault/AWS Secrets Manager) instead of env vars; credential rotation,Low,Open,2026-06-01
RISK-010,Supply Chain,Model Poisoning via Compromised Provider,LLM provider compromised and model weights modified to produce malicious outputs,1,5,5,CISO,Model registry with approved providers only; supplier security review; DPA in place,Accept: low likelihood; monitor provider security bulletins; incident playbook in place,Very Low,Open,2026-06-01
RISK-011,Access Control,Inadequate ACL — Overprivileged Tool Credentials,Tool credentials scoped to read-write when only read is required violating least-privilege,3,4,12,Platform Engineering,Scoped credential keys per tool in registry; credential documentation,Mitigate: audit all tool credentials quarterly; enforce read-only tokens for read tools,Medium,Open,2026-06-01
RISK-012,Compliance,GDPR / EU AI Act Compliance Failure,Agentic system processes personal data without adequate DPIA or lawful basis documentation,2,5,10,Data Protection Officer,DPIA completed (risk/dpia-summary.md); legitimate interest basis documented; DPO sign-off,Mitigate: annual DPIA review; track regulatory changes; external legal review before production,Low,Open,2026-06-01
RISK-013,Quality,Hallucination Without Citation,Agent returns plausible but incorrect information without citing source causing downstream decisions on false data,4,4,16,ML Engineering,Extractive-first answer design; abstention policy for low-confidence answers; human review for financial decisions,Mitigate: retrieval-augmented generation with source citation; confidence threshold gating,Medium,Open,2026-06-01
RISK-014,Agent Behaviour,Agentic Loop Escape — Infinite Tool Call Recursion,Recursive tool calls cause unbounded execution consuming resources or causing unintended side effects,2,4,8,Platform Engineering,MAX_TOOL_DEPTH limit (default 10); depth counter in orchestrator; error logged and call aborted,Mitigate: add time-based budget per trace; alert on depth limit hits in production,Low,Open,2026-06-01
